東京_東京,発,0553,0620,0630,0641,0644,0648,0651,0707,0718,0727,0729,0732,0738,0744,0751,0755,0801,0805,0811,0815,0822,0829,0836,0839,0846,0857,0900,0903,0906,0911,0916,0918,0921,0930,0935,0938,0948,1000,1005,1008,1014,1019,1026,1029,1039,1044,1049,1059,1102,1105,1109,1119,1126,1129,1139,1145,1149,1159,1205,1209,1219,1226,1229,1239,1245,1249,1259,1305,1309,1319,1326,1329,1339,1345,1349,1359,1405,1409,1419,1426,1429,1439,1444,1449,1459,1505,1509,1520,1526,1529,1539,1545,1549,1559,1605,1609,1620,1626,1629,1640,1644,1649,1700,1703,1709,1712,1719,1727,1729,1736,1742,1746,1751,1800,1803,1809,1813,1818,1827,1831,1834,1839,1842,1846,1858,1903,1908,1911,1914,1927,1932,1935,1939,1942,1946,1957,2003,2006,2011,2015,2021,2029,2033,2038,2041,2049,2059,2103,2109,2111,2120,2130,2136,2139,2145,2148,2159,2204,2209,2215,2220,2230,2233,2240,2243,2248,2305,2308,2319,2332
上野_上野,発,0600,0626,0636,0648,0649,0655,0659,0716,0724,0733,0737,0741,0744,0750,0757,0800,0807,0810,0819,0821,0830,0835,0841,0845,0852,0903,0906,0910,0912,0919,0923,0925,0930,0936,0944,0944,0954,1005,1012,1014,1019,1025,1032,1037,1045,1051,1055,1106,1112,1112,1116,1125,1132,1135,1145,1152,1155,1205,1212,1215,1227,1232,1235,1245,1252,1255,1305,1312,1316,1327,1332,1335,1345,1352,1355,1405,1412,1417,1427,1432,1435,1445,1452,1455,1505,1511,1515,1527,1532,1535,1545,1551,1555,1605,1611,1615,1627,1632,1635,1645,1651,1655,1705,1709,1714,1718,1725,1733,1735,1742,1750,1754,1757,1805,1810,1816,1819,1825,1832,1837,1840,1845,1849,1852,1905,1910,1915,1917,1920,1933,1938,1941,1946,1949,1952,2004,2010,2011,2017,2022,2028,2036,2041,2044,2047,2054,2104,2110,2115,2117,2126,2137,2144,2145,2151,2154,2205,2211,2215,2222,2227,2237,2240,2246,2249,2254,2312,2314,2325,2338
日暮里_日暮里,発,||,||,||,||,0654,||,||,||,||,||,||,0744,＝,||,||,||,||,＝,||,＝,||,||,＝,||,＝,＝,||,||,0915,||,||,0928,||,||,0947,||,||,||,1016,||,＝,||,1037,||,||,1054,||,||,||,1116,||,||,1136,||,||,1155,||,||,1216,||,||,1236,||,||,1255,||,||,1316,||,||,1336,||,||,1355,||,||,1416,||,||,1436,||,||,1455,||,||,1514,||,||,1536,||,||,1555,||,||,1614,||,||,1636,||,||,1655,||,||,1713,||,1722,||,1737,||,||,||,1757,||,||,1813,||,1822,||,||,||,1844,||,1853,||,||,1914,||,1921,||,||,||,1945,||,1952,||,||,2013,||,2020,||,||,||,2045,||,2051,||,||,2113,||,2121,||,||,2148,||,||,2157,||,2215,||,2226,||,||,2243,||,2253,||,2315,||,||,||
尾久_尾久,発,0605,0632,0641,レ,・,0700,0705,0722,0730,0738,0743,・,,0756,0803,レ,0812,,0824,,0836,レ,,0851,,,0911,0916,・,0925,0928,・,レ,0942,・,0950,0959,1011,・,1019,,1030,・,1042,1051,・,1101,1112,レ,・,1122,1132,・,1140,1150,・,1201,1210,・,1222,1233,・,1241,1250,・,1301,1311,・,1322,1333,・,1340,1350,・,1400,1410,・,1423,1433,・,1440,1450,・,1500,1511,・,1521,1533,・,1540,1550,・,1600,1611,・,1621,1632,・,1640,1651,・,1701,1711,・,1720,・,1730,・,1740,1747,1755,・,1803,1811,・,1822,・,1830,1837,1844,・,1851,・,1858,1912,・,1920,・,1925,1939,1944,・,1952,・,1958,2010,・,2017,・,2028,2034,2042,・,2050,・,2100,2110,・,2120,・,2132,2142,・,2151,2156,・,2211,・,2220,・,2233,2242,・,2251,・,2259,・,2319,2330,2344
赤羽_赤羽,発,0610,0636,0646,0658,・,0705,0710,0726,0735,0743,0748,・,,0801,0807,0810,0817,,0829,,0840,0845,,0855,,,0916,0920,・,0930,0933,・,0941,0946,・,0955,1004,1016,・,1024,,1035,・,1047,1056,・,1106,1118,1121,・,1127,1137,・,1145,1155,・,1206,1215,・,1227,1238,・,1246,1255,・,1305,1316,・,1326,1338,・,1345,1355,・,1405,1415,・,1428,1438,・,1445,1455,・,1505,1515,・,1526,1538,・,1545,1555,・,1605,1615,・,1626,1637,・,1645,1655,・,1705,1715,・,1725,・,1735,・,1745,1752,1800,・,1808,1816,・,1827,・,1835,1842,1848,・,1856,・,1902,1917,・,1925,・,1930,1944,1948,・,1956,・,2003,2014,・,2021,・,2033,2039,2047,・,2055,・,2104,2114,・,2125,・,2136,2147,・,2155,2201,・,2215,・,2225,・,2238,2247,・,2256,・,2304,・,2324,2335,2349
浦和_浦和,発,0618,0645,0654,0706,・,0713,0719,0735,0743,0751,0757,・,,0809,0816,0819,0825,,0837,,0849,0855,,0904,,,0925,0929,・,0938,0941,・,0949,0955,・,1003,1012,1025,・,1032,,1043,・,1056,1105,・,1115,1127,1130,・,1136,1146,・,1154,1203,・,1215,1224,・,1236,1246,・,1254,1303,・,1314,1324,・,1335,1346,・,1353,1403,・,1413,1424,・,1436,1446,・,1454,1503,・,1514,1524,・,1536,1546,・,1554,1603,・,1614,1624,・,1635,1646,・,1654,1704,・,1714,1724,・,1734,・,1743,・,1753,1800,1808,・,1817,1825,・,1836,・,1843,1850,1857,・,1905,・,1911,1925,・,1933,・,1938,1953,1957,・,2005,・,2012,2023,・,2030,・,2041,2048,2056,・,2105,・,2113,2123,・,2133,・,2145,2155,・,2204,2209,・,2224,・,2233,・,2246,2255,・,2304,・,2312,・,2332,2343,2358
さいたま新都心_さいたま新都心,発,0623,0649,0659,レ,・,0718,0723,0739,0747,0756,0801,・,,0813,0820,レ,0829,,0842,,0853,レ,,0908,,,0930,0933,・,0943,0946,・,レ,0959,・,1007,1016,1029,・,1036,,1048,・,1100,1109,・,1119,1131,レ,・,1140,1151,・,1158,1208,・,1220,1228,・,1241,1251,・,1258,1308,・,1318,1329,・,1339,1351,・,1357,1408,・,1418,1428,・,1440,1451,・,1458,1508,・,1518,1528,・,1540,1551,・,1558,1608,・,1618,1628,・,1639,1650,・,1658,1708,・,1718,1728,・,1738,・,1747,・,1758,1805,1813,・,1822,1829,・,1840,・,1848,1854,1901,・,1909,・,1915,1930,・,1938,・,1943,1957,2001,・,2009,・,2016,2027,・,2034,・,2045,2052,2100,・,2109,・,2117,2127,・,2138,・,2149,2200,・,2208,2213,・,2228,・,2238,・,2250,2300,・,2309,・,2317,・,2337,2347,0002
大宮_大宮,着,0625,0651,0702,0711,・,0720,0726,0742,0750,0758,0804,・,,0816,0823,0825,0832,,0844,,0856,0902,,0910,,,0933,0936,・,0946,0948,・,0957,1001,・,1009,1019,1031,・,1039,,1050,・,1103,1112,・,1122,1134,1137,・,1143,1154,・,1201,1210,・,1223,1232,・,1244,1254,・,1301,1310,・,1321,1331,・,1342,1354,・,1400,1410,・,1421,1431,・,1443,1454,・,1500,1510,・,1521,1531,・,1543,1554,・,1600,1610,・,1621,1631,・,1641,1653,・,1700,1710,・,1720,1730,・,1741,・,1750,・,1800,1807,1815,・,1824,1832,・,1843,・,1850,1857,1903,・,1912,・,1918,1932,・,1940,・,1945,2000,2003,・,2012,・,2019,2030,・,2036,・,2048,2055,2103,・,2112,・,2120,2129,・,2140,・,2152,2202,・,2210,2216,・,2230,・,2241,・,2253,2303,・,2311,・,2319,・,2339,2350,0005
終着,,高崎_0749_高崎_0749,高崎_0815_高崎_0815,小金井_0807_小金井_0807,宇都宮_0821_宇都宮_0821,勝田_0851_勝田_0851,籠原_0807_籠原_0807,宇都宮_0842_宇都宮_0842,宇都宮_0859_宇都宮_0859,高崎_0917_高崎_0917,籠原_0843_籠原_0843,小金井_0900_小金井_0900,土浦_0846_土浦_0846,___,宇都宮_0942_宇都宮_0942,高崎_0944_高崎_0944,宇都宮_0931_宇都宮_0931,宇都宮_0950_宇都宮_0950,___,籠原_0930_籠原_0930,___,宇都宮_1015_宇都宮_1015,高崎_1015_高崎_1015,___,高崎_1032_高崎_1032,___,___,新前橋_1109_新前橋_1109,宇都宮_1054_宇都宮_1054,水戸_1133_水戸_1133,小金井_1053_小金井_1053,籠原_1034_籠原_1034,土浦_1033_土浦_1033,高崎_1113_高崎_1113,宇都宮_1129_宇都宮_1129,土浦_1101_土浦_1101,高崎_1141_高崎_1141,小金井_1119_小金井_1119,宇都宮_1201_宇都宮_1201,土浦_1121_土浦_1121,高崎_1209_高崎_1209,___,小金井_1152_小金井_1152,土浦_1145_土浦_1145,宇都宮_1229_宇都宮_1229,高崎_1242_高崎_1242,土浦_1203_土浦_1203,小金井_1223_小金井_1223,籠原_1226_籠原_1226,長野原草津口_1343_長野原草津口_1343,土浦_1222_土浦_1222,宇都宮_1310_宇都宮_1310,高崎_1320_高崎_1320,土浦_1245_土浦_1245,古河_1237_古河_1237,高崎_1341_高崎_1341,土浦_1303_土浦_1303,小金井_1322_小金井_1322,籠原_1323_籠原_1323,土浦_1322_土浦_1322,宇都宮_1408_宇都宮_1408,高崎_1418_高崎_1418,土浦_1345_土浦_1345,古河_1337_古河_1337,高崎_1441_高崎_1441,土浦_1400_土浦_1400,小金井_1424_小金井_1424,籠原_1422_籠原_1422,土浦_1422_土浦_1422,宇都宮_1506_宇都宮_1506,高崎_1519_高崎_1519,土浦_1445_土浦_1445,古河_1436_古河_1436,高崎_1541_高崎_1541,水戸_1558_水戸_1558,小金井_1521_小金井_1521,籠原_1519_籠原_1519,水戸_1620_水戸_1620,宇都宮_1607_宇都宮_1607,高崎_1618_高崎_1618,勝田_1648_勝田_1648,古河_1536_古河_1536,高崎_1641_高崎_1641,水戸_1700_水戸_1700,小金井_1620_小金井_1620,籠原_1619_籠原_1619,土浦_1608_土浦_1608,宇都宮_1707_宇都宮_1707,高崎_1719_高崎_1719,土浦_1644_土浦_1644,古河_1637_古河_1637,高崎_1732_高崎_1732,勝田_1801_勝田_1801,小金井_1719_小金井_1719,高崎_1754_高崎_1754,土浦_1708_土浦_1708,小金井_1741_小金井_1741,籠原_1738_籠原_1738,土浦_1744_土浦_1744,宇都宮_1818_宇都宮_1818,高崎_1833_高崎_1833,高萩_1951_高萩_1951,宇都宮_1844_宇都宮_1844,高崎_1852_高崎_1852,勝田_1921_勝田_1921,籠原_1827_籠原_1827,取手_1803_取手_1803,宇都宮_1917_宇都宮_1917,勝田_1957_勝田_1957,古河_1840_古河_1840,高崎_1931_高崎_1931,宇都宮_1942_宇都宮_1942,成田_1929_成田_1929,小金井_1925_小金井_1925,籠原_1917_籠原_1917,水戸_2021_水戸_2021,小金井_1951_小金井_1951,成田_1951_成田_1951,籠原_1936_籠原_1936,宇都宮_2014_宇都宮_2014,高崎_2037_高崎_2037,勝田_2053_勝田_2053,宇都宮_2036_宇都宮_2036,成田_2017_成田_2017,高崎_2046_高崎_2046,小金井_2032_小金井_2032,勝田_2143_勝田_2143,高崎_2112_高崎_2112,取手_1957_取手_1957,古河_2028_古河_2028,籠原_2049_籠原_2049,宇都宮_2131_宇都宮_2131,勝田_2206_勝田_2206,前橋_2213_前橋_2213,取手_2034_取手_2034,小金井_2122_小金井_2122,籠原_2119_籠原_2119,土浦_2123_土浦_2123,宇都宮_2203_宇都宮_2203,取手_2057_取手_2057,高崎_2216_高崎_2216,古河_2132_古河_2132,宇都宮_2223_宇都宮_2223,土浦_2152_土浦_2152,籠原_2157_籠原_2157,成田_2207_成田_2207,宇都宮_2242_宇都宮_2242,高崎_2250_高崎_2250,土浦_2224_土浦_2224,小金井_2247_小金井_2247,取手_2157_取手_2157,籠原_2238_籠原_2238,小金井_2302_小金井_2302,土浦_2254_土浦_2254,籠原_2256_籠原_2256,小金井_2313_小金井_2313,成田_2323_成田_2323,高崎_2352_高崎_2352,取手_2253_取手_2253,籠原_2334_籠原_2334,勝田_0036_勝田_0036,小金井_2351_小金井_2351,高崎_0031_高崎_0031,成田_0002_成田_0002,宇都宮_0029_宇都宮_0029,勝田_0054_勝田_0054,籠原_0004_籠原_0004,土浦_0019_土浦_0019,宇都宮_0059_宇都宮_0059,高崎_0114_高崎_0114,小金井_0103_小金井_0103
次の区間,,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,,↓,↓,↓,↓,,↓,,↓,↓,,↓,,,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓
